City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,London,51.5085,-0.1257,280.93,87,4,2.24,GB,1726115134
1,New York,40.7143,-74.006,292.71,85,0,2.06,US,1726115739
2,Tokyo,35.6895,139.6917,308.59,60,20,7.2,JP,1726115820
3,Paris,48.8534,2.3488,282.43,88,20,3.09,FR,1726115928
4,Sydney,-33.8679,151.2073,292.78,67,40,12.86,AU,1726115934
5,Berlin,52.5244,13.4105,283.19,84,0,2.24,DE,1726115944
6,Moscow,55.7522,37.6156,290.74,65,95,3.39,RU,1726115345
7,Mumbai,19.0144,72.8479,299.09,88,75,1.54,IN,1726115411
8,Beijing,39.9075,116.3972,301.09,31,0,1.19,CN,1726115701
9,Cairo,30.0626,31.2497,304.57,29,0,0.0,EG,1726115948
